Plant Type,Family,Common Name,Genus,Organism,OTU,Sequences,Pairwise Identity,BLH,Query,BarCode,Time Period,Date,Region,Site,Host Plant,Sex,BLTVA,BCTV,S citri,Notes
Grass,Poaceae,Cheatgrass,Bromus,Bromus tectorum,2,7,99.10%,0,bc1140--bc1299,,,,,,,,,,,
Grass,Poaceae,Cheatgrass,Bromus,Bromus tectorum,1,38,98.70%,0,bc1150--bc1339,,,,,,,,,,,
Grass,Poaceae,Cheatgrass,Bromus,Bromus tectorum,3,6,98.90%,0,bc1150--bc1339,,,,,,,,,,,
Grass,Poaceae,Cheatgrass,Bromus,Bromus tectorum,4,2,98.50%,0,bc1150--bc1339,,,,,,,,,,,
Grass,Poaceae,Cheatgrass,Bromus,Bromus tectorum,5,2,97.20%,0,bc1150--bc1339,,,,,,,,,,,
Cannabis,Cannabaceae,Cannabis,Cannabis,Cannabis sativa,13,10,99.60%,10,bc1150--bc1172,ITS,Late April,2020-04-22,Pasco,WSU,Filaree,F,1,0,0,
Cannabis,Cannabaceae,Cannabis,Cannabis,Cannabis sativa,17,4,99.60%,111,bc1152--bc1171,ITS,Late May,2020-05-18,Mattawa,C,Flixweed/Pinnate tansymustard,F,0,1,0,RADseq
Cannabis,Cannabaceae,Cannabis,Cannabis,Cannabis sativa,2534,2894,99.60%,113,bc1152--bc1172,ITS,Late May,2020-05-18,Mattawa,C,Russian thistle,F,1,1,0,
Cannabis,Cannabaceae,Cannabis,Cannabis,Cannabis sativa,20,2,99.40%,153,bc1152--bc1155,ITS,Late May,2020-05-25,Paterson,H,Russian thistle,F,1,0,0,RADseq
Cannabis,Cannabaceae,Cannabis,Cannabis,Cannabis sativa,91,3,99.60%,190,bc1153--bc1171,ITS,Late May,2020-05-27,Pasco,M,Kochia,F,1,0,0,RADseq
Cannabis,Cannabaceae,Cannabis,Cannabis,Cannabis sativa,69,61,97.30%,193,bc1153--bc1172,ITS,Late May,2020-05-27,Pasco,M,Kochia,F,0,1,0,RADseq
Cannabis,Cannabaceae,Cannabis,Cannabis,Cannabis sativa,39,2,99.30%,201,bc1153--bc1154,ITS,Early June,2020-06-03,Moxee,A,Tumble mustard,F,0,0,0,RADseq
Cannabis,Cannabaceae,Cannabis,Cannabis,Cannabis sativa,107,13,99.60%,211,bc1153--bc1155,ITS,Early June,2020-06-03,Moxee,A,Tumble mustard,F,0,1,0,RADseq
